gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.3,1,1,1,skipconcat,299,True,0.6204,0.0198,141.0,0.325,0.0023,0.7734,0.0173,0.7524,0.0143,0.7255,0.037,0.7384,0.0244,0.8187,0.0187
0.3,1,1,1,skipsum,99,True,0.6989,0.0146,141.0,0.3279,0.0009,0.749,0.0283,0.7263,0.0515,0.7039,0.0281,0.7131,0.0207,0.8077,0.0291
0.3,1,1,1,skipsum,199,True,0.6606,0.02,141.0,0.3252,0.0025,0.767,0.0259,0.7272,0.0431,0.7643,0.0204,0.7441,0.0187,0.8339,0.0285
0.3,1,1,1,skipsum,299,True,0.6262,0.0243,141.0,0.3243,0.0053,0.7826,0.0169,0.7642,0.0175,0.7349,0.0395,0.7487,0.0233,0.8538,0.0213
0.3,1,1,1,stack,99,True,0.6834,0.0168,141.0,0.3261,0.0024,0.7328,0.0289,0.719,0.0574,0.6706,0.0856,0.6874,0.0382,0.7968,0.0303
0.3,1,1,1,stack,199,True,0.6484,0.0197,141.0,0.3275,0.0037,0.7599,0.0313,0.7128,0.0476,0.7749,0.0125,0.7413,0.0218,0.8077,0.0268
0.3,1,1,1,stack,299,True,0.6204,0.0198,141.0,0.3279,0.0009,0.7734,0.0173,0.7524,0.0143,0.7255,0.037,0.7384,0.0244,0.8187,0.0187
0.3,1,1,2,skipconcat,99,True,0.685,0.0181,251.0,0.3285,0.0044,0.7509,0.0172,0.7009,0.0212,0.7624,0.0303,0.7299,0.0187,0.7935,0.0202
0.3,1,1,2,skipconcat,199,True,0.6396,0.0059,251.0,0.3312,0.0026,0.7582,0.0092,0.7101,0.0213,0.7682,0.029,0.7372,0.0066,0.8035,0.0048
0.3,1,1,2,skipconcat,299,True,0.6098,0.0107,251.0,0.3307,0.0024,0.764,0.0136,0.7218,0.034,0.7655,0.0334,0.7415,0.0031,0.8199,0.0075
0.3,1,1,2,skipsum,99,True,0.6693,0.021,251.0,0.3341,0.0041,0.7585,0.0316,0.723,0.0584,0.7506,0.025,0.7341,0.019,0.8284,0.0281
