gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.329,0.0052,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.3292,0.0039,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.3313,0.0052,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3284,0.0008,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3301,0.0034,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3295,0.0015,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3383,0.0047,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3309,0.0011,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3304,0.0062,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3366,0.006,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3297,0.0007,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3384,0.0033,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipsum,90,True,0.6702,0.0188,361.0,0.3726,0.06,0.7244,0.0635,0.6594,0.0992,0.8827,0.1008,0.742,0.0255,0.8878,0.0119
0.0,2,1,2,skipsum,194,True,0.5968,0.0117,361.0,0.373,0.0628,0.8316,0.004,0.8261,0.0192,0.7851,0.0175,0.8046,0.0023,0.8959,0.0065
0.0,2,1,2,skipsum,298,True,0.555,0.009,361.0,0.3302,0.0063,0.8311,0.0013,0.8101,0.0076,0.807,0.0095,0.8085,0.0013,0.9041,0.002
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3269,0.0013,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3323,0.003,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3317,0.0024,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5362,0.0034,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5323,0.0056,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5402,0.0032,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipsum,97,True,0.6719,0.0307,361.0,0.5354,0.004,0.7717,0.0391,0.7121,0.039,0.8114,0.0618,0.7579,0.0442,0.8682,0.0435
0.0,2,2,1,skipsum,155,True,0.6492,0.0464,361.0,0.5283,0.0046,0.7926,0.0282,0.7509,0.0156,0.7922,0.0652,0.7702,0.0392,0.8743,0.041
0.0,2,2,1,skipsum,297,True,0.6002,0.0624,361.0,0.535,0.0039,0.797,0.026,0.748,0.0249,0.8145,0.0344,0.7798,0.0293,0.8873,0.025
0.0,2,2,1,stack,1,True,0.7677,0.0006,361.0,0.5314,0.0036,0.4418,0.0,0.4418,0.0,1.0,0.0,0.6128,0.0,0.8616,0.0074
0.0,2,2,1,stack,1,True,0.7677,0.0006,361.0,0.5351,0.0059,0.4418,0.0,0.4418,0.0,1.0,0.0,0.6128,0.0,0.8616,0.0074
0.0,2,2,1,stack,297,True,0.5939,0.0167,361.0,0.5319,0.0029,0.7853,0.0177,0.7332,0.0267,0.811,0.0113,0.7697,0.0143,0.8624,0.0051
0.0,2,2,2,skipconcat,8,True,0.7641,0.0014,571.0,0.5354,0.0032,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.8726,0.0023
0.0,2,2,2,skipconcat,196,True,0.5982,0.0101,571.0,0.5351,0.0034,0.7996,0.006,0.7557,0.0073,0.8075,0.0125,0.7806,0.0072,0.8751,0.006
0.0,2,2,2,skipconcat,292,True,0.5668,0.0066,571.0,0.5326,0.0032,0.8066,0.0075,0.7661,0.0137,0.8102,0.0078,0.7874,0.0065,0.883,0.0018
0.0,2,2,2,skipsum,94,True,0.6619,0.0065,471.0,0.5274,0.0014,0.8191,0.0129,0.8292,0.0297,0.749,0.073,0.7836,0.0294,0.8996,0.0099
0.0,2,2,2,skipsum,177,True,0.609,0.0056,471.0,0.5795,0.0601,0.8294,0.0046,0.8022,0.0149,0.8157,0.0227,0.8085,0.0062,0.9008,0.008
0.0,2,2,2,skipsum,272,True,0.5756,0.0119,471.0,0.5361,0.004,0.8309,0.0072,0.8161,0.0208,0.798,0.0122,0.8067,0.0045,0.904,0.0043
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5794,0.0582,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5417,0.0054,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5805,0.0615,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,3,1,skipconcat,53,True,0.7195,0.0335,771.0,0.7296,0.0132,0.6904,0.106,0.6343,0.1072,0.871,0.0886,0.7208,0.0467,0.8566,0.0062
0.0,2,3,1,skipconcat,172,True,0.6376,0.035,771.0,0.7391,0.0043,0.7826,0.0154,0.7911,0.0614,0.7129,0.1248,0.7377,0.051,0.8639,0.0064
0.0,2,3,1,skipconcat,242,True,0.6262,0.0497,771.0,0.7401,0.0064,0.7734,0.0386,0.8157,0.0762,0.6643,0.1882,0.705,0.1049,0.8673,0.0076
0.0,2,3,1,skipsum,83,True,0.7124,0.0197,471.0,0.7347,0.01,0.7571,0.0411,0.7631,0.0228,0.6623,0.1623,0.6949,0.0955,0.8453,0.0246
0.0,2,3,1,skipsum,161,True,0.6621,0.0363,471.0,0.7359,0.0075,0.7682,0.0288,0.7127,0.0608,0.8235,0.0638,0.7592,0.0089,0.8677,0.0085
0.0,2,3,1,skipsum,161,True,0.6621,0.0363,471.0,0.7433,0.0037,0.7682,0.0288,0.7127,0.0608,0.8235,0.0638,0.7592,0.0089,0.8677,0.0085
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.729,0.0072,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.739,0.0053,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.7438,0.0077,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,2,skipconcat,41,True,0.7429,0.0194,881.0,0.7417,0.0065,0.7134,0.1095,0.8308,0.1199,0.5325,0.3757,0.515,0.3625,0.8643,0.0115
0.0,2,3,2,skipconcat,41,True,0.7429,0.0194,881.0,0.7814,0.0529,0.7134,0.1095,0.8308,0.1199,0.5325,0.3757,0.515,0.3625,0.8643,0.0115
0.0,2,3,2,skipconcat,284,True,0.5755,0.0092,881.0,0.7382,0.002,0.8034,0.0017,0.7537,0.0033,0.8243,0.0096,0.7874,0.0031,0.8702,0.0177
0.0,2,3,2,skipsum,99,True,0.6646,0.0158,581.0,0.7561,0.0013,0.8127,0.0136,0.7999,0.016,0.7698,0.0514,0.7833,0.0233,0.8882,0.014
0.0,2,3,2,skipsum,188,True,0.6085,0.0035,581.0,0.7316,0.0055,0.8308,0.0019,0.8186,0.0061,0.7925,0.0078,0.8053,0.0024,0.9032,0.0007
0.0,2,3,2,skipsum,208,True,0.5989,0.0023,581.0,0.7747,0.0589,0.8321,0.0024,0.8116,0.0106,0.8079,0.0131,0.8096,0.0026,0.9035,0.0005
0.0,2,3,2,stack,12,True,0.7625,0.0034,581.0,0.7449,0.0077,0.6102,0.0735,0.2077,0.2938,0.2976,0.4209,0.2447,0.346,0.8444,0.0086
0.0,2,3,2,stack,12,True,0.7625,0.0034,581.0,0.7452,0.0058,0.6102,0.0735,0.2077,0.2938,0.2976,0.4209,0.2447,0.346,0.8444,0.0086
0.0,2,3,2,stack,299,True,0.5962,0.0054,581.0,0.7368,0.0028,0.781,0.0032,0.7293,0.0095,0.8028,0.0161,0.7641,0.0037,0.8467,0.0019
0.3,1,1,1,skipconcat,95,True,0.685,0.0192,141.0,0.3293,0.0023,0.733,0.0335,0.7334,0.0744,0.6525,0.0938,0.6813,0.0423,0.7972,0.0325
0.3,1,1,1,skipconcat,192,True,0.6489,0.0172,141.0,0.3253,0.0056,0.7642,0.0252,0.7153,0.0399,0.7823,0.0183,0.7463,0.0173,0.8136,0.0158
0.3,1,1,1,skipconcat,284,True,0.6201,0.0148,141.0,0.3263,0.0003,0.7758,0.0124,0.7453,0.0087,0.7478,0.0261,0.7465,0.0171,0.8249,0.0105
0.3,1,1,1,skipsum,99,True,0.6989,0.0146,141.0,0.3279,0.0009,0.749,0.0283,0.7263,0.0515,0.7039,0.0281,0.7131,0.0207,0.8077,0.0291
0.3,1,1,1,skipsum,197,True,0.6583,0.0172,141.0,0.3246,0.0041,0.777,0.0131,0.741,0.0231,0.7639,0.0276,0.7517,0.0136,0.8435,0.0207
0.3,1,1,1,skipsum,296,True,0.6229,0.0218,141.0,0.3215,0.0029,0.7852,0.0143,0.7469,0.0245,0.7792,0.0188,0.7623,0.0127,0.8604,0.0178
0.3,1,1,1,stack,95,True,0.685,0.0192,141.0,0.3256,0.0023,0.733,0.0335,0.7334,0.0744,0.6525,0.0938,0.6813,0.0423,0.7972,0.0325
0.3,1,1,1,stack,192,True,0.6489,0.0172,141.0,0.3289,0.0017,0.7642,0.0252,0.7153,0.0399,0.7823,0.0183,0.7463,0.0173,0.8136,0.0158
0.3,1,1,1,stack,284,True,0.6201,0.0148,141.0,0.3285,0.0024,0.7758,0.0124,0.7453,0.0087,0.7478,0.0261,0.7465,0.0171,0.8249,0.0105
0.3,1,1,2,skipconcat,87,True,0.694,0.0186,251.0,0.3322,0.0032,0.7332,0.0278,0.6802,0.0507,0.7738,0.0629,0.7196,0.0068,0.7994,0.017
0.3,1,1,2,skipconcat,154,True,0.6489,0.0063,251.0,0.3327,0.0057,0.7637,0.0041,0.7094,0.0115,0.789,0.0177,0.7468,0.0027,0.8162,0.0042
0.3,1,1,2,skipconcat,268,True,0.6118,0.009,251.0,0.3311,0.0019,0.7665,0.0051,0.7142,0.0128,0.7874,0.0263,0.7486,0.0072,0.8292,0.0033
0.3,1,1,2,skipsum,97,True,0.6676,0.0195,251.0,0.3323,0.0031,0.7595,0.028,0.7175,0.0461,0.7608,0.0115,0.7374,0.0194,0.8374,0.024
0.3,1,1,2,skipsum,173,True,0.6214,0.0194,251.0,0.3261,0.0017,0.7883,0.0098,0.7648,0.007,0.7518,0.0191,0.7582,0.0132,0.8557,0.0143
0.3,1,1,2,skipsum,291,True,0.5838,0.0264,251.0,0.3293,0.0023,0.7925,0.0161,0.7727,0.0257,0.7525,0.0254,0.7621,0.0179,0.8597,0.0259
0.3,1,1,2,stack,87,True,0.694,0.0186,251.0,0.3316,0.0022,0.7332,0.0278,0.6802,0.0507,0.7738,0.0629,0.7196,0.0068,0.7994,0.017
0.3,1,1,2,stack,154,True,0.6489,0.0063,251.0,0.3328,0.0031,0.7637,0.0041,0.7094,0.0115,0.789,0.0177,0.7468,0.0027,0.8162,0.0042
0.3,1,1,2,stack,268,True,0.6118,0.009,251.0,0.3254,0.0055,0.7665,0.0051,0.7142,0.0128,0.7874,0.0263,0.7486,0.0072,0.8292,0.0033
0.3,1,2,1,skipconcat,99,True,0.7189,0.0289,351.0,0.5257,0.0118,0.6764,0.0709,0.637,0.0848,0.7498,0.1803,0.6668,0.0646,0.7653,0.0369
0.3,1,2,1,skipconcat,196,True,0.6648,0.0227,351.0,0.5245,0.0059,0.7654,0.0073,0.7324,0.0152,0.7415,0.0477,0.7357,0.0181,0.8122,0.0133
0.3,1,2,1,skipconcat,294,True,0.6367,0.0265,351.0,0.5313,0.0071,0.7697,0.0141,0.7179,0.0213,0.791,0.028,0.7521,0.0143,0.8201,0.0211
0.3,1,2,1,skipsum,96,True,0.7129,0.0191,251.0,0.5273,0.0093,0.7322,0.023,0.7159,0.0429,0.6596,0.0308,0.6853,0.0214,0.7944,0.0144
0.3,1,2,1,skipsum,186,True,0.6566,0.0102,251.0,0.5274,0.0045,0.7751,0.008,0.7364,0.0137,0.7655,0.0091,0.7505,0.0068,0.8445,0.0151
0.3,1,2,1,skipsum,284,True,0.6189,0.0133,251.0,0.5674,0.05,0.778,0.0102,0.743,0.0136,0.7612,0.0092,0.7519,0.0104,0.8558,0.0118
0.3,1,2,1,stack,92,True,0.6908,0.0032,251.0,0.5354,0.0022,0.7278,0.026,0.7297,0.0144,0.6145,0.1165,0.6604,0.0602,0.7934,0.0108
0.3,1,2,1,stack,177,True,0.6576,0.0072,251.0,0.5694,0.06,0.7443,0.0157,0.7291,0.0424,0.6894,0.1167,0.6996,0.0474,0.8086,0.0115
0.3,1,2,1,stack,240,True,0.6439,0.0072,251.0,0.5286,0.0043,0.7516,0.0089,0.7201,0.0407,0.7314,0.076,0.7212,0.0149,0.8169,0.006
